City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
444,Altay,CN,43.09,Clear,47.8667,88.1167,Jinqiao Hotel
445,Zharkent,KZ,62.06,Clouds,44.1628,80.0,гостиница Satti
449,Naro Moru,KE,57.07,Clouds,-0.1676,37.0213,Naro Moru River Lodge
451,Viedma,AR,73.92,Clouds,-40.8135,-62.9967,Hotel Cristal
453,Mocuba,MZ,65.3,Clouds,-16.8392,36.9856,Phama Lodge
456,Mount Isa,AU,69.8,Clear,-20.7333,139.5,ibis Styles Mt Isa Verona
459,Smithers,CA,50.0,Clouds,54.7804,-127.1743,Prestige Hudson Bay Lodge
463,Kohat,PK,68.0,Haze,33.582,71.4493,Millennium Guest House & Restaurant
465,Barcelos,PT,68.0,Clear,41.5388,-8.6151,Hotel Do Terço
466,Guangyuan,CN,58.15,Clouds,32.442,105.823,Guangyuan Poetry Hotel
469,Lanzhou,CN,55.4,Clear,36.0564,103.7922,Lanzhou Amdo Xiangbala Hotel
470,Hofn,IS,42.8,Clouds,64.2539,-15.2082,Hótel Höfn
471,Indianola,US,62.01,Clouds,41.3581,-93.5574,Quality Inn Indianola
474,Outjo,,68.86,Rain,-20.1167,16.15,Kai-Oms Backpackers Lodge
482,Ilam,NP,64.15,Clouds,26.9167,87.9167,Chiyabari Cottage
483,Sri Aman,MY,73.4,Clouds,1.2376,111.4621,Seri Simanggang Hotel
484,Rio Gallegos,AR,61.07,Clouds,-51.6226,-69.2181,Hotel Santa Cruz
486,Hastings,GB,52.0,Clouds,50.8552,0.5729,Zanzibar Hotel
489,Erenhot,CN,51.35,Clouds,43.6475,111.9767,Erenhot Rurouni Youth Hostel
492,Huarmey,PE,73.85,Clouds,-10.0681,-78.1522,Hotel Miramar
493,Karatau,KZ,57.69,Clouds,43.1667,70.4667,Gor.bol'nitsa
494,Saint-Raymond,CA,54.0,Clouds,45.467,-73.6095,Le Chabrol Hôtel et Suites
496,Hereford,GB,54.0,Clouds,52.0568,-2.7148,The Green Dragon Hotel
497,Tezu,IN,69.98,Clouds,27.9167,96.1667,Circuit House
