City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
156,Radishchevo,RU,2021-04-17 20:52:32,52.85,47.8833,52.25,69,38,10.56
157,Kruisfontein,ZA,2021-04-17 20:52:33,-34.0033,24.7314,61.43,40,32,2.86
158,Bambous Virieux,MU,2021-04-17 20:47:59,-20.3428,57.7575,78.01,88,75,6.91
159,Banepa,NP,2021-04-17 20:52:34,27.6298,85.5214,59.7,46,13,3.71
160,Del Rio,US,2021-04-17 20:52:34,29.3627,-100.8968,69.8,30,40,11.5
161,Kalabo,ZM,2021-04-17 20:52:35,-14.97,22.6814,63.95,53,23,6.67
162,Baykit,RU,2021-04-17 20:52:36,61.67,96.37,10.53,96,100,3.24
163,Victor Harbor,AU,2021-04-17 20:48:29,-35.5667,138.6167,57.0,87,17,1.01
164,Saint-Philippe,RE,2021-04-17 20:52:36,-21.3585,55.7679,75.2,88,90,6.91
165,Montrose,US,2021-04-17 20:52:37,38.4166,-108.2673,48.0,30,80,13.0
166,Constitucion,CL,2021-04-17 20:52:37,-35.3333,-72.4167,60.42,75,67,4.36
167,Tupelo,US,2021-04-17 20:52:29,34.2576,-88.7034,66.2,45,75,12.66
168,Labuhan,ID,2021-04-17 20:52:38,-6.8844,112.2051,76.66,88,81,6.04
169,Pipar,IN,2021-04-17 20:52:38,26.3856,73.5378,80.78,25,20,10.33
170,Laela,TZ,2021-04-17 20:52:39,-8.5667,32.05,59.58,97,94,5.97
171,Yima,CN,2021-04-17 20:52:39,34.7381,111.8839,49.32,45,99,3.62
172,Matara,LK,2021-04-17 20:52:40,5.9485,80.5353,77.59,87,94,6.42
173,Avarua,CK,2021-04-17 20:52:40,-21.2078,-159.775,82.4,74,11,9.22
174,Kapaa,US,2021-04-17 20:52:41,22.0752,-159.319,73.4,73,40,13.8
175,Cayeli,TR,2021-04-17 20:52:41,41.0923,40.7292,55.62,88,97,2.64
176,Camocim,BR,2021-04-17 20:52:07,-2.9022,-40.8411,78.31,87,13,12.06
177,Bellevue,US,2021-04-17 20:52:42,47.6104,-122.2007,79.0,28,0,4.0
178,Huambo,AO,2021-04-17 20:52:43,-12.7761,15.7392,64.11,65,92,1.9
179,Mahebourg,MU,2021-04-17 20:52:43,-20.4081,57.7,77.0,88,75,6.91
180,Aklavik,CA,2021-04-17 20:52:44,68.2191,-135.0107,44.6,42,20,4.61
181,Kaupanger,NO,2021-04-17 20:52:44,61.1845,7.2404,37.99,79,30,1.01
182,Qaanaaq,GL,2021-04-17 20:48:28,77.484,-69.3632,0.09,88,100,2.17
183,Batagay-Alyta,RU,2021-04-17 20:50:21,67.8006,130.4114,16.09,94,100,4.52
184,Buraydah,SA,2021-04-17 20:52:46,26.326,43.975,77.0,33,40,8.05
185,Naryan-Mar,RU,2021-04-17 20:52:46,67.6713,53.087,10.83,91,68,8.03
186,Murdochville,CA,2021-04-17 20:52:46,48.9583,-65.5006,35.6,87,33,14.97
187,Naze,JP,2021-04-17 20:52:47,28.3667,129.4833,58.62,56,77,19.3
188,Porto Velho,BR,2021-04-17 20:52:48,-8.7619,-63.9039,78.8,83,75,8.05
189,Urengoy,RU,2021-04-17 20:52:49,65.9667,78.3667,-13.74,99,29,8.1
